iteration,average_performance
1,1.4113229027126213
2,0.6056933434052518
3,0.5325312873691043
4,0.8431695273273795
5,0.46473596265997
6,0.4626824724470089
7,0.14527242261293846
8,0.5163464009594506
9,1.1388679477878318
10,0.24923678984788086
11,0.06838802018871983
12,0.15850712531160877
13,0.8693859407166662
14,0.38318583283825025
15,0.2328830313054814
16,0.308506507444508
17,0.22715507712595662
18,0.004545925385772856
19,-0.11450537135305304
20,0.05804349887055416
21,0.08432602028202114
22,0.3300994454623775
23,-0.0965160061073511
24,0.039922524231556775
25,0.083414716261948
26,0.39848878834421436
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
