iteration,average_performance
1,-0.09925601642233273
2,0.4238333873717106
3,1.8157717998786083
4,1.0005266203023009
5,2.438991036750789
6,-0.911827159569128
7,-0.03939063719709581
8,0.044985049205949916
9,0.3157066161839626
10,0.3382707647380146
11,-0.12441086403233965
12,0.29512445909584184
13,0.13119516892423091
14,0.13023536274436268
15,0.15294593509696208
16,0.05715122055339714
17,0.17906743762308966
18,0.06041250271646854
19,-0.007677953137877294
20,0.1211941335323291
21,0.6840898151650872
22,0.0032703268473329716
23,0.6473440711639727
24,-0.17393811310630106
25,0.20717582936928122
26,-0.06133020095943153
27,0.49076294610478094
28,0.7792470783174652
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
