run_num,leg_damage_scenario_index,num_iterations,best_index,best_performance
0,0,1,515,4.695374309555522
1,0,1,515,4.695374309555522
2,0,1,515,4.695374309555522
3,0,1,515,4.695374309555522
4,0,1,515,4.695374309555522
5,0,1,515,4.695374309555522
6,0,1,515,4.695374309555522
7,0,1,515,4.695374309555522
8,0,1,515,4.695374309555522
9,0,1,515,4.695374309555522
10,0,1,515,4.695374309555522
11,0,1,515,4.695374309555522
12,0,1,515,4.695374309555522
13,0,1,515,4.695374309555522
14,0,1,515,4.695374309555522
15,0,1,515,4.695374309555522
16,0,1,515,4.695374309555522
17,0,1,515,4.695374309555522
18,0,1,515,4.695374309555522
19,0,1,515,4.695374309555522
0,1,8,515,2.172032695993574
1,1,8,515,2.172032695993574
2,1,8,515,2.172032695993574
3,1,8,515,2.172032695993574
4,1,8,515,2.172032695993574
5,1,8,515,2.172032695993574
6,1,8,515,2.172032695993574
7,1,8,515,2.172032695993574
8,1,8,515,2.172032695993574
9,1,8,515,2.172032695993574
10,1,8,515,2.172032695993574
11,1,8,515,2.172032695993574
12,1,8,515,2.172032695993574
13,1,8,515,2.172032695993574
14,1,8,515,2.172032695993574
15,1,8,515,2.172032695993574
16,1,8,515,2.172032695993574
17,1,8,515,2.172032695993574
18,1,8,515,2.172032695993574
19,1,8,515,2.172032695993574
0,1,6,263,3.5117381473228475
1,1,6,263,3.5117381473228475
2,1,6,263,3.5117381473228475
3,1,6,263,3.5117381473228475
4,1,6,263,3.5117381473228475
5,1,6,263,3.5117381473228475
6,1,6,263,3.5117381473228475
7,1,6,263,3.5117381473228475
8,1,6,263,3.5117381473228475
9,1,6,263,3.5117381473228475
10,1,6,263,3.5117381473228475
11,1,6,263,3.5117381473228475
12,1,6,263,3.5117381473228475
13,1,6,263,3.5117381473228475
14,1,6,263,3.5117381473228475
15,1,6,263,3.5117381473228475
16,1,6,263,3.5117381473228475
17,1,6,263,3.5117381473228475
18,1,6,263,3.5117381473228475
19,1,6,263,3.5117381473228475
0,1,3,1083,3.785051245337831
1,1,3,1083,3.785051245337831
2,1,3,1083,3.785051245337831
3,1,3,1083,3.785051245337831
4,1,3,1083,3.785051245337831
5,1,3,1083,3.785051245337831
6,1,3,1083,3.785051245337831
7,1,3,1083,3.785051245337831
