iteration,average_performance
1,0.6069615811655734
2,0.1504735090644417
3,1.150335625434819
4,0.43443766984703625
5,1.4583588595578212
6,0.8539704030439994
7,0.6039060617895949
8,0.2756574671516488
9,0.2956013411614106
10,0.17787442607747495
11,-0.024355343163263942
12,0.6479942170200644
13,0.2712868480816926
14,-0.005474449334808854
15,0.011179898008330727
16,0.18045744612517925
17,0.16298142764042275
18,-0.030722807857355344
19,0.1638220197664544
20,0.041606611755667516
21,-0.24399803828324762
22,0.010727600502109899
23,0.11560565033806124
24,-0.0038898401697761062
25,0.42905522238412236
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
