iteration,average_performance
1,0.3574026241570027
2,2.6969126751868964
3,0.5123198985308561
4,0.45505455347113904
5,-0.06675659139576437
6,0.16137239974260817
7,-0.012751869422620238
8,0.5277055801491585
9,0.06012551926460031
10,0.7834838522253883
11,-0.0014987409718228552
12,0.27869461715825444
13,0.05686174594015885
14,0.05021389685874669
15,0.004748431992890393
16,-0.06544960678935831
17,0.6198418066131511
18,0.9761052934192448
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
