iteration,average_performance
1,0.19135973444359652
2,-0.03559094617490501
3,0.9443526475136359
4,0.10118796722448607
5,1.4243552305550107
6,0.21811650508752392
7,0.5520618731587061
8,0.7276606538478183
9,0.2548842936055524
10,0.23701894243381375
11,0.06038130867951336
12,0.7422806010318809
13,0.20122383590703197
14,0.1442059515925175
15,0.5018149030445302
16,0.21149920759908683
17,-0.1444911029506494
18,0.11231156863527043
19,0.10299164697041534
20,0.05034986028892738
21,-0.002781260473514365
22,-0.016637131901497952
23,0.12115848821785781
24,0.49848434078889153
25,0.0026561662329418635
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
