iteration,average_performance
1,0.0843845406025972
2,0.07192473936810144
3,0.15568833697538023
4,1.5678353513407972
5,0.271084298153699
6,0.9019329069717127
7,0.3861759309001262
8,0.678823379355933
9,0.17180354106166396
10,0.66743913978855
11,0.36311854482832423
12,0.8411655070566354
13,0.33090593548787844
14,0.28255936289966305
15,0.9260563305199717
16,0.41123456406474324
17,0.011697650481867527
18,0.402957480316905
19,0.3837500388472468
20,0.46560509845151543
21,0.0811570445423163
22,0.279679774749862
23,0.4632055313876757
24,0.017630912919316274
25,0.05982388523204942
26,0.07495592968896309
27,-0.057733708549682884
28,0.14873567214851002
29,0.32902153707885073
30,0.00871166539410198
31,-0.02728382907684923
32,0.26749806753942046
33,0.22587411498192247
34,-0.16390423543797195
35,0.03985802527899941
36,0.03133456812112149
37,-0.0846911412050466
38,0.0
39,0.0
40,0.0
