iteration,average_performance
1,0.17515140204018975
2,0.9071770075309997
3,0.4131765495172841
4,0.5988909102231279
5,0.7838885489150792
6,0.49581628831600083
7,-0.07472962149882828
8,-0.13945459882711297
9,0.29087729789187394
10,0.22460696198662924
11,0.7563688865127771
12,0.45850998195934417
13,-0.030669447853780812
14,0.07868442925680284
15,0.43370276672680186
16,0.3846411107448349
17,0.41802410815516194
18,0.2997386694854977
19,-0.036227277402824394
20,0.15311123773985233
21,0.3277206922716043
22,0.18073092510216782
23,0.0392998341573254
24,0.15640565780602841
25,0.24080698551348034
26,0.4297078335520647
27,0.2699446198972773
28,0.1399504162532282
29,0.027465789530636563
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
