run_num,leg_damage_scenario_index,num_iterations,best_index,best_performance
0,0,1,2390,4.75611201926452
1,0,1,2390,4.75611201926452
2,0,1,2390,4.75611201926452
3,0,1,2390,4.75611201926452
4,0,1,2390,4.75611201926452
5,0,1,2390,4.75611201926452
6,0,1,2390,4.75611201926452
7,0,1,2390,4.75611201926452
8,0,1,2390,4.75611201926452
9,0,1,2390,4.75611201926452
10,0,1,2390,4.75611201926452
11,0,1,2390,4.75611201926452
12,0,1,2390,4.75611201926452
13,0,1,2390,4.75611201926452
14,0,1,2390,4.75611201926452
15,0,1,2390,4.75611201926452
16,0,1,2390,4.75611201926452
17,0,1,2390,4.75611201926452
18,0,1,2390,4.75611201926452
19,0,1,2390,4.75611201926452
0,1,3,495,3.916911258677865
1,1,3,495,3.916911258677865
2,1,3,495,3.916911258677865
3,1,3,495,3.916911258677865
4,1,3,495,3.916911258677865
5,1,3,495,3.916911258677865
6,1,3,495,3.916911258677865
7,1,3,495,3.916911258677865
8,1,3,495,3.916911258677865
9,1,3,495,3.916911258677865
10,1,3,495,3.916911258677865
11,1,3,495,3.916911258677865
12,1,3,495,3.916911258677865
13,1,3,495,3.916911258677865
14,1,3,495,3.916911258677865
15,1,3,495,3.916911258677865
16,1,3,495,3.916911258677865
17,1,3,495,3.916911258677865
18,1,3,495,3.916911258677865
19,1,3,495,3.916911258677865
0,1,2,2390,3.9343019640175703
1,1,2,2390,3.9343019640175703
2,1,2,2390,3.9343019640175703
3,1,2,2390,3.9343019640175703
4,1,2,2390,3.9343019640175703
5,1,2,2390,3.9343019640175703
6,1,2,2390,3.9343019640175703
7,1,2,2390,3.9343019640175703
8,1,2,2390,3.9343019640175703
9,1,2,2390,3.9343019640175703
10,1,2,2390,3.9343019640175703
11,1,2,2390,3.9343019640175703
12,1,2,2390,3.9343019640175703
13,1,2,2390,3.9343019640175703
14,1,2,2390,3.9343019640175703
15,1,2,2390,3.9343019640175703
16,1,2,2390,3.9343019640175703
17,1,2,2390,3.9343019640175703
18,1,2,2390,3.9343019640175703
19,1,2,2390,3.9343019640175703
0,1,3,495,3.7287570254764235
1,1,3,495,3.7287570254764235
2,1,3,495,3.7287570254764235
3,1,3,495,3.7287570254764235
4,1,3,495,3.7287570254764235
5,1,3,495,3.7287570254764235
6,1,3,495,3.7287570254764235
7,1,3,495,3.7287570254764235
8,1,3,495,3.7287570254764235
9,1,3,495,3.7287570254764235
10,1,3,495,3.7287570254764235
11,1,3,495,3.7287570254764235
12,1,3,495,3.7287570254764235
13,1,3,495,3.7287570254764235
14,1,3,495,3.7287570254764235
15,1,3,495,3.7287570254764235
16,1,3,495,3.7287570254764235
17,1,3,495,3.7287570254764235
18,1,3,495,3.7287570254764235
19,1,3,495,3.7287570254764235
0,1,1,2390,4.4815050047895495
1,1,1,2390,4.4815050047895495
2,1,1,2390,4.4815050047895495
3,1,1,2390,4.4815050047895495
4,1,1,2390,4.4815050047895495
5,1,1,2390,4.4815050047895495
6,1,1,2390,4.4815050047895495
7,1,1,2390,4.4815050047895495
8,1,1,2390,4.4815050047895495
9,1,1,2390,4.4815050047895495
10,1,1,2390,4.4815050047895495
11,1,1,2390,4.4815050047895495
12,1,1,2390,4.4815050047895495
13,1,1,2390,4.4815050047895495
14,1,1,2390,4.4815050047895495
15,1,1,2390,4.4815050047895495
16,1,1,2390,4.4815050047895495
17,1,1,2390,4.4815050047895495
18,1,1,2390,4.4815050047895495
19,1,1,2390,4.4815050047895495
0,1,6,3556,3.646057519900939
1,1,6,3556,3.646057519900939
2,1,6,3556,3.646057519900939
3,1,6,3556,3.646057519900939
4,1,6,3556,3.646057519900939
5,1,6,3556,3.646057519900939
6,1,6,3556,3.646057519900939
7,1,6,3556,3.646057519900939
8,1,6,3556,3.646057519900939
9,1,6,3556,3.646057519900939
10,1,6,3556,3.646057519900939
11,1,6,3556,3.646057519900939
12,1,6,3556,3.646057519900939
13,1,6,3556,3.646057519900939
14,1,6,3556,3.646057519900939
15,1,6,3556,3.646057519900939
16,1,6,3556,3.646057519900939
17,1,6,3556,3.646057519900939
18,1,6,3556,3.646057519900939
19,1,6,3556,3.646057519900939
0,1,2,2390,3.953571929047755
1,1,2,2390,3.953571929047755
2,1,2,2390,3.953571929047755
3,1,2,2390,3.953571929047755
4,1,2,2390,3.953571929047755
5,1,2,2390,3.953571929047755
6,1,2,2390,3.953571929047755
7,1,2,2390,3.953571929047755
8,1,2,2390,3.953571929047755
9,1,2,2390,3.953571929047755
10,1,2,2390,3.953571929047755
11,1,2,2390,3.953571929047755
12,1,2,2390,3.953571929047755
13,1,2,2390,3.953571929047755
14,1,2,2390,3.953571929047755
15,1,2,2390,3.953571929047755
16,1,2,2390,3.953571929047755
17,1,2,2390,3.953571929047755
18,1,2,2390,3.953571929047755
19,1,2,2390,3.953571929047755
0,2,12,495,2.9895092358152016
1,2,12,495,2.9895092358152016
2,2,12,495,2.9895092358152016
3,2,12,495,2.9895092358152016
4,2,12,495,2.9895092358152016
5,2,12,495,2.9895092358152016
6,2,12,495,2.9895092358152016
7,2,12,495,2.9895092358152016
8,2,12,495,2.9895092358152016
9,2,12,495,2.9895092358152016
10,2,12,495,2.9895092358152016
11,2,12,495,2.9895092358152016
12,2,12,495,2.9895092358152016
13,2,12,495,2.9895092358152016
14,2,12,495,2.9895092358152016
15,2,12,495,2.9895092358152016
16,2,12,495,2.9895092358152016
17,2,12,495,2.9895092358152016
18,2,12,495,2.9895092358152016
19,2,12,495,2.9895092358152016
0,2,6,3556,3.6220149236473738
1,2,6,3556,3.6220149236473738
2,2,6,3556,3.6220149236473738
3,2,6,3556,3.6220149236473738
4,2,6,3556,3.6220149236473738
5,2,6,3556,3.6220149236473738
6,2,6,3556,3.6220149236473738
7,2,6,3556,3.6220149236473738
8,2,6,3556,3.6220149236473738
9,2,6,3556,3.6220149236473738
10,2,6,3556,3.6220149236473738
11,2,6,3556,3.6220149236473738
12,2,6,3556,3.6220149236473738
13,2,6,3556,3.6220149236473738
14,2,6,3556,3.6220149236473738
15,2,6,3556,3.6220149236473738
16,2,6,3556,3.6220149236473738
17,2,6,3556,3.6220149236473738
18,2,6,3556,3.6220149236473738
19,2,6,3556,3.6220149236473738
0,2,3,495,3.715805208137807
1,2,3,495,3.715805208137807
2,2,3,495,3.715805208137807
3,2,3,495,3.715805208137807
4,2,3,495,3.715805208137807
5,2,3,495,3.715805208137807
6,2,3,495,3.715805208137807
7,2,3,495,3.715805208137807
8,2,3,495,3.715805208137807
9,2,3,495,3.715805208137807
10,2,3,495,3.715805208137807
11,2,3,495,3.715805208137807
12,2,3,495,3.715805208137807
13,2,3,495,3.715805208137807
14,2,3,495,3.715805208137807
15,2,3,495,3.715805208137807
16,2,3,495,3.715805208137807
17,2,3,495,3.715805208137807
18,2,3,495,3.715805208137807
19,2,3,495,3.715805208137807
0,3,9,495,3.163819571995498
1,3,9,495,3.163819571995498
2,3,9,495,3.163819571995498
3,3,9,495,3.163819571995498
4,3,9,495,3.163819571995498
5,3,9,495,3.163819571995498
6,3,9,495,3.163819571995498
7,3,9,495,3.163819571995498
8,3,9,495,3.163819571995498
9,3,9,495,3.163819571995498
10,3,9,495,3.163819571995498
11,3,9,495,3.163819571995498
12,3,9,495,3.163819571995498
13,3,9,495,3.163819571995498
14,3,9,495,3.163819571995498
15,3,9,495,3.163819571995498
16,3,9,495,3.163819571995498
17,3,9,495,3.163819571995498
18,3,9,495,3.163819571995498
19,3,9,495,3.163819571995498
0,3,14,219,3.0266782418514433
1,3,14,219,3.0266782418514433
2,3,14,219,3.0266782418514433
3,3,14,219,3.0266782418514433
4,3,14,219,3.0266782418514433
5,3,14,219,3.0266782418514433
6,3,14,219,3.0266782418514433
7,3,14,219,3.0266782418514433
8,3,14,219,3.0266782418514433
9,3,14,219,3.0266782418514433
10,3,14,219,3.0266782418514433
11,3,14,219,3.0266782418514433
12,3,14,219,3.0266782418514433
13,3,14,219,3.0266782418514433
14,3,14,219,3.0266782418514433
15,3,14,219,3.0266782418514433
16,3,14,219,3.0266782418514433
17,3,14,219,3.0266782418514433
18,3,14,219,3.0266782418514433
19,3,14,219,3.0266782418514433
0,3,9,27,3.8106989821994444
1,3,9,27,3.8106989821994444
2,3,9,27,3.8106989821994444
3,3,9,27,3.8106989821994444
4,3,9,27,3.8106989821994444
5,3,9,27,3.8106989821994444
6,3,9,27,3.8106989821994444
7,3,9,27,3.8106989821994444
8,3,9,27,3.8106989821994444
9,3,9,27,3.8106989821994444
10,3,9,27,3.8106989821994444
11,3,9,27,3.8106989821994444
12,3,9,27,3.8106989821994444
13,3,9,27,3.8106989821994444
14,3,9,27,3.8106989821994444
15,3,9,27,3.8106989821994444
16,3,9,27,3.8106989821994444
17,3,9,27,3.8106989821994444
18,3,9,27,3.8106989821994444
19,3,9,27,3.8106989821994444
0,3,6,2390,3.5464610234274385
