run_num,leg_damage_scenario_index,num_iterations,best_index,best_performance
0,0,1,5043,4.232650043052395
1,0,1,5043,4.232650043052395
2,0,1,5043,4.232650043052395
3,0,1,5043,4.232650043052395
4,0,1,5043,4.232650043052395
5,0,1,5043,4.232650043052395
6,0,1,5043,4.232650043052395
7,0,1,5043,4.232650043052395
8,0,1,5043,4.232650043052395
9,0,1,5043,4.232650043052395
10,0,1,5043,4.232650043052395
11,0,1,5043,4.232650043052395
12,0,1,5043,4.232650043052395
13,0,1,5043,4.232650043052395
14,0,1,5043,4.232650043052395
15,0,1,5043,4.232650043052395
16,0,1,5043,4.232650043052395
17,0,1,5043,4.232650043052395
18,0,1,5043,4.232650043052395
19,0,1,5043,4.232650043052395
0,1,21,274,2.6910433315387556
1,1,21,274,2.6910433315387556
2,1,21,274,2.6910433315387556
3,1,21,274,2.6910433315387556
4,1,21,274,2.6910433315387556
5,1,21,274,2.6910433315387556
6,1,21,274,2.6910433315387556
7,1,21,274,2.6910433315387556
8,1,21,274,2.6910433315387556
9,1,21,274,2.6910433315387556
10,1,21,274,2.6910433315387556
11,1,21,274,2.6910433315387556
12,1,21,274,2.6910433315387556
13,1,21,274,2.6910433315387556
14,1,21,274,2.6910433315387556
15,1,21,274,2.6910433315387556
16,1,21,274,2.6910433315387556
17,1,21,274,2.6910433315387556
18,1,21,274,2.6910433315387556
19,1,21,274,2.6910433315387556
0,1,6,1841,3.4156252295015794
1,1,6,1841,3.4156252295015794
2,1,6,1841,3.4156252295015794
3,1,6,1841,3.4156252295015794
4,1,6,1841,3.4156252295015794
5,1,6,1841,3.4156252295015794
6,1,6,1841,3.4156252295015794
7,1,6,1841,3.4156252295015794
8,1,6,1841,3.4156252295015794
9,1,6,1841,3.4156252295015794
10,1,6,1841,3.4156252295015794
11,1,6,1841,3.4156252295015794
12,1,6,1841,3.4156252295015794
13,1,6,1841,3.4156252295015794
14,1,6,1841,3.4156252295015794
15,1,6,1841,3.4156252295015794
16,1,6,1841,3.4156252295015794
17,1,6,1841,3.4156252295015794
18,1,6,1841,3.4156252295015794
19,1,6,1841,3.4156252295015794
0,1,3,1841,3.5210392672345034
1,1,3,1841,3.5210392672345034
2,1,3,1841,3.5210392672345034
3,1,3,1841,3.5210392672345034
4,1,3,1841,3.5210392672345034
5,1,3,1841,3.5210392672345034
6,1,3,1841,3.5210392672345034
7,1,3,1841,3.5210392672345034
8,1,3,1841,3.5210392672345034
9,1,3,1841,3.5210392672345034
10,1,3,1841,3.5210392672345034
11,1,3,1841,3.5210392672345034
12,1,3,1841,3.5210392672345034
13,1,3,1841,3.5210392672345034
14,1,3,1841,3.5210392672345034
15,1,3,1841,3.5210392672345034
16,1,3,1841,3.5210392672345034
17,1,3,1841,3.5210392672345034
18,1,3,1841,3.5210392672345034
19,1,3,1841,3.5210392672345034
0,1,6,2770,3.2927475388170055
1,1,6,2770,3.2927475388170055
2,1,6,2770,3.2927475388170055
3,1,6,2770,3.2927475388170055
4,1,6,2770,3.2927475388170055
5,1,6,2770,3.2927475388170055
