iteration,average_performance
1,0.5947127085285852
2,1.4129587682200064
3,0.344098316949298
4,1.238810438520769
5,0.27867066695566717
6,0.03469913928643175
7,0.5236165212090892
8,0.45341343791731586
9,0.08185928379434917
10,1.291916078303336
11,0.10917816833460302
12,0.05283595843051664
13,0.017202214091975254
14,-0.08191054211002932
15,0.2573802390546072
16,0.46622472410676846
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
