iteration,average_performance
1,0.9284307035912263
2,1.3194085008264942
3,1.9828610883117337
4,1.5973474535641772
5,1.4021307945276156
6,0.6653762477594151
7,0.2549357559517233
8,0.010910695258950935
9,0.11342517858751401
10,-0.06819112171242082
11,0.23516892925253777
12,0.18110875598286494
13,-0.03424772620110457
14,-0.07153530591476133
15,0.0063200303056929336
16,0.013605374365085876
17,0.10326269333848374
18,-0.00935003656668269
19,0.2806263170948768
20,0.1328934428337451
21,0.4485072219231259
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
