iteration,average_performance
1,0.18639776501507263
2,0.38315501837769955
3,1.8758678391971184
4,-0.3061177684179425
5,0.6868987502994989
6,1.175193483313292
7,0.3093767457914917
8,-0.003807438924371
9,-0.04752936807770116
10,0.3129675509552411
11,-0.08837394513532287
12,-0.07218410145691685
13,-0.09583810170091571
14,0.20870055984566072
15,0.64757758935145
16,0.3611407521121733
17,-0.3206007732889699
18,-0.12394477701866874
19,0.18243828073664625
20,0.9866048144620699
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
