iteration,average_performance
1,1.3414594354648413
2,1.374176990000951
3,3.244923672823019
4,0.07593947690072622
5,1.0431462720226001
6,1.0016208960903135
7,0.5663181637165781
8,0.009007843369935528
9,0.5230346515585684
10,0.33820428744111286
11,-0.021910117028468058
12,0.09296358977453444
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
