iteration,average_performance
1,0.2597142907171516
2,0.451944796780858
3,1.545591711061476
4,0.7854713289847505
5,0.8666685788001636
6,-0.07137051734070606
7,0.18249846848512738
8,0.18026389347182717
9,0.5516329900409144
10,0.5446162198944036
11,0.6635606325189319
12,0.5073594302163017
13,0.534836529550823
14,0.12709607285436833
15,0.15279874537283963
16,0.5170718258803336
17,0.04115598736498643
18,0.3244770227242626
19,0.20639732938240915
20,0.304558399762233
21,0.06279353083038432
22,0.641696615277822
23,0.04581924434589634
24,0.1434656900844961
25,0.1372207491507456
26,0.010390673413313048
27,0.02356546243714314
28,0.011329879391526918
29,-0.07382521639564964
30,0.10355039569942814
31,0.17388623083995436
32,0.03596415277897066
33,0.10279575129049996
34,-0.07829516135375668
35,-0.11118942735185701
36,0.143646450726967
37,0.2075860072860375
38,-0.027468912937805342
39,0.0
40,0.0
